team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Jaipur Pink Panthers,Haryana Steelers,39,30,47,47,21,28,10,19,9,12,1,0,0,0,28,Choice of court :Left,3,Jaipur Pink Panthers,Jaipur Pink Panthers
Patna Pirates,Bengaluru Bulls,40,40,42,42,21,31,14,21,11,7,1,1,0,1,1,Choice of court :Left,,,Match Tied
Jaipur Pink Panthers,Gujarat Fortunegiants,31,33,43,44,25,21,18,13,8,8,1,0,1,0,31,Choice of court :Left,3,Jaipur Pink Panthers,Gujarat Fortunegiants
Jaipur Pink Panthers,Dabang Delhi K.C.,37,37,43,44,25,26,19,19,7,7,2,1,3,2,2,Choice of court :Left,3,Jaipur Pink Panthers,Match Tied
Puneri Paltan,Telugu Titans,35,20,43,44,24,15,10,11,4,15,0,0,2,1,8,Choice of court :Left,,,Puneri Paltan
U Mumba,U.P. Yoddha,32,34,41,41,25,28,15,16,12,10,1,0,2,1,5,Choice of court :Right,,,U.P. Yoddha
Bengal Warriors,Patna Pirates,39,23,41,40,27,21,13,15,6,14,0,0,1,0,6,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Bengal Warriors,Dabang Delhi K.C.,31,37,41,41,22,20,15,14,7,8,1,0,2,0,2,Choice of court :Left,4,Bengal Warriors,Dabang Delhi K.C.
Bengal Warriors,Dabang Delhi,21,32,40,41,20,17,10,4,15,12,,,,,4,Choice of court :Right,,,Dabang Delhi
Bengal Warriors,Tamil Thalaivas,27,24,44,43,23,19,15,13,6,8,1,1,2,0,29,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Haryana Steelers,Tamil Thalaivas,40,40,43,43,30,30,23,22,10,7,0,2,1,0,28,Choice of court :Right,,,Match Tied
Bengal Warriors,Telugu Titans,39,34,44,43,24,29,17,22,7,9,2,1,1,3,8,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Gujarat Fortunegiants,Patna Pirates,37,29,40,39,25,18,14,12,7,12,0,0,3,0,6,Choice of court :Left,,,Gujarat Fortunegiants
Bengal Warriors,Bengaluru Bulls,37,31,39,39,23,25,16,19,7,7,1,0,0,0,1,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Jaipur Pink Panthers,Bengaluru Bulls,32,40,45,45,27,22,19,12,10,8,0,1,1,0,1,Choice of court :Left,,,Bengaluru Bulls
Bengal Warriors,U.P. Yoddha,25,41,40,40,23,24,17,12,12,6,0,1,1,2,4,Choice of court :Right,4,Bengal Warriors,U.P. Yoddha
U Mumba,U.P. Yoddha,29,34,43,44,20,29,9,12,17,11,0,0,0,1,30,Choice of court :Right,,,U.P. Yoddha
Dabang Delhi K.C.,Bengal Warriors,39,28,42,41,23,23,13,17,7,11,0,1,1,0,2,Choice of court :Right,,,Dabang Delhi K.C.
Gujarat Fortunegiants,Bengaluru Bulls,29,41,42,43,25,29,19,16,14,6,0,1,0,0,31,Choice of court :Right,,,Bengaluru Bulls
Jaipur Pink Panthers,Patna Pirates,23,29,40,40,20,23,14,12,12,7,,,,,3,Choice of court :Left,,,Patna Pirates
U.P. Yoddha,Dabang Delhi K.C.,45,33,39,39,23,24,14,20,5,12,2,1,1,0,2,Choice of court :Left,,,U.P. Yoddha
Gujarat Fortunegiants,U.P. Yoddha,38,31,44,44,23,25,13,17,9,12,0,0,0,2,30,Choice of court :Right,,,Gujarat Fortunegiants
Bengaluru Bulls,Gujarat Fortunegiants,38,33,44,44,24,30,17,22,9,7,0,1,0,0,1,Choice of court :Left,,,Bengaluru Bulls
Tamil Thalaivas,Telugu Titans,37,58,48,49,31,28,28,18,12,4,1,2,0,1,29,Choice of court :Left,29,Tamil Thalaivas,Telugu Titans
Telugu Titans,U Mumba,26,27,41,41,23,21,13,10,11,10,,,,,8,Choice of court :Left,,,U Mumba
Dabang Delhi,Bengaluru Bulls,18,33,41,40,20,21,13,9,13,8,,,,,1,Choice of court :Right,,,Bengaluru Bulls
Jaipur Pink Panthers,Telugu Titans,22,33,42,42,22,22,18,11,11,6,,,,,8,Choice of court :Right,,,Telugu Titans
Bengaluru Bulls,Bengal Warriors,46,30,43,43,26,31,11,24,7,15,,,,,4,Choice of court :Right,4,Bengal Warriors,Bengaluru Bulls
Jaipur Pink Panthers,Bengaluru Bulls,36,23,42,42,21,21,7,13,10,15,,,,,1,Choice of court :Right,,,Jaipur Pink Panthers
Puneri Paltan,Bengal Warriors,33,29,42,42,23,19,13,12,11,13,,,,,7,Choice of court :Left,,,Puneri Paltan
Jaipur Pink Panthers,Dabang Delhi,27,35,42,42,20,25,13,8,17,7,,,,,2,Choice of court :Right,,,Dabang Delhi
Patna Pirates,Telugu Titans,22,34,42,42,26,18,17,7,11,9,,,,,8,Choice of court :Left,,,Telugu Titans
Telugu Titans,Bengaluru Bulls,21,35,42,41,17,23,11,11,15,6,,,,,8,Choice of court :Right,,,Bengaluru Bulls
Patna Pirates,Dabang Delhi,39,22,44,43,25,19,10,14,5,16,,,,,2,Choice of court :Left,,,Patna Pirates
Dabang Delhi,U Mumba,22,27,40,42,21,19,11,8,11,10,,,,,2,Choice of court :Right,,,U Mumba
Patna Pirates,Puneri Paltan,32,28,43,43,25,19,14,12,8,12,,,,,7,Choice of court :Left,,,Patna Pirates
Puneri Paltan,Jaipur Pink Panthers,29,35,41,41,22,25,16,16,11,7,,,,,7,Choice of court :Right,,,Jaipur Pink Panthers
Patna Pirates,Bengal Warriors,20,20,43,43,18,14,8,7,8,11,,,,,6,Choice of court :Right,,,Match Tied
